ID;Type;Subtype;Group;Object;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;Moisture content %wt;Volatile content %wt;Char content %wt;Ash content %wt;SUM;M_norm;V_norm;C_norm;A_norm;;Comments;C %wt;H %wt;N %wt;S %wt;O %wt;Cl %wt;SUM;E_C_norm;E_H_norm;E_N_norm;E_S_norm;E_O_norm;E_Cl_norm;HHV [MJ/kg] DAF;HHV_D [MJ/kg];HHV_eff_norm  [MJ/kg];E_HHV [MJ/kg] DAF;E_HHV_D [MJ/kg];E_HHV_eff_norm  [MJ/kg];Ref;Kommentar
60;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.741;0.0953;;N/A;;;;14.56;14.56;;;;;;;;;;;;;;;;;;;;;;;;;;5;
61;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.747;0.0849;;N/A;;;;6.38;6.38;;;;;;;;;;;;;;;;;;;;;;;;;;5;
62;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.747;0.0916;;N/A;;;;20.5;20.5;;;;;;;;;;;;;;;;;;;;;;;;;;5;
63;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.757;0.087;;N/A;;;;23.75;23.75;;;;;;;;;;;;;;;;;;;;;;;;;;5;
64;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.76;0.0928;;N/A;;;;21.06;21.06;;;;;;;;;;;;;;;;;;;;;;;;;;5;
65;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.763;0.0846;;N/A;;;;17.05;17.05;;;;;;;;;;;;;;;;;;;;;;;;;;5;
66;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.763;0.0911;;N/A;;;;18.29;18.29;;;;;;;;;;;;;;;;;;;;;;;;;;5;
67;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.767;0.0876;;N/A;;;;10.65;10.65;;;;;;;;;;;;;;;;;;;;;;;;;;5;
68;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.772;0.0937;;N/A;;;;15.3;15.3;;;;;;;;;;;;;;;;;;;;;;;;;;5;
69;Paper ;2;Copy paper;Copy paper;copy sheet papers, UCFS ;0.773;0.1094;1.55;N/A;;;;15.02;15.02;;;;;;;;;;;;;;;;;;;;;;;;;;5;
70;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.775;0.0844;;N/A;;;;18.65;18.65;;;;;;;;;;;;;;;;;;;;;;;;;;5;
71;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.78;0.0925;;N/A;;;;21.3;21.3;;;;;;;;;;;;;;;;;;;;;;;;;;5;
72;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.78;0.0898;;N/A;;;;22.51;22.51;;;;;;;;;;;;;;;;;;;;;;;;;;5;
73;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.781;0.0856;;N/A;;;;18.16;18.16;;;;;;;;;;;;;;;;;;;;;;;;;;5;
74;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.784;0.0906;;N/A;;;;21.07;21.07;;;;;;;;;;;;;;;;;;;;;;;;;;5;
75;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.785;0.0878;;N/A;;;;23.57;23.57;;;;;;;;;;;;;;;;;;;;;;;;;;5;
76;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.785;0.0937;;N/A;;;;20.41;20.41;;;;;;;;;;;;;;;;;;;;;;;;;;5;
77;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.786;0.0917;;N/A;;;;17.63;17.63;;;;;;;;;;;;;;;;;;;;;;;;;;5;
78;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.787;0.0852;;N/A;;;;18.94;18.94;;;;;;;;;;;;;;;;;;;;;;;;;;5;
79;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.789;0.0812;;N/A;;;;20.98;20.98;;;;;;;;;;;;;;;;;;;;;;;;;;5;
80;Paper ;2;Copy paper;Copy paper;copy sheet papers, UCFS ;0.79;0.0907;1.47;N/A;;;;12.03;12.03;;;;;;;;;;;;;;;;;;;;;;;;;;5;
81;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.794;0.0984;;N/A;;;;17.84;17.84;;;;;;;;;;;;;;;;;;;;;;;;;;5;
82;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.796;0.0919;;N/A;;;;23.04;23.04;;;;;;;;;;;;;;;;;;;;;;;;;;5;
83;Paper ;2;Copy paper;Copy paper;copy sheet papers, UCFS ;0.807;0.102;1.34;N/A;;;;26.15;26.15;;;;;;;;;;;;;;;;;;;;;;;;;;5;
84;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.809;0.096;;N/A;;;;19.68;19.68;;;;;;;;;;;;;;;;;;;;;;;;;;5;
85;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.809;0.1036;;N/A;;;;19.15;19.15;;;;;;;;;;;;;;;;;;;;;;;;;;5;
86;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.814;0.0932;;N/A;;;;21.67;21.67;;;;;;;;;;;;;;;;;;;;;;;;;;5;
87;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.817;0.0929;;N/A;;;;21.64;21.64;;;;;;;;;;;;;;;;;;;;;;;;;;5;
88;Paper ;2;Copy paper;Copy paper;copy sheet papers, UCFS ;0.818;0.0904;1.26;N/A;;;;21.62;21.62;;;;;;;;;;;;;;;;;;;;;;;;;;5;
89;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.819;0.0959;;N/A;;;;22.82;22.82;;;;;;;;;;;;;;;;;;;;;;;;;;5;
90;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.825;0.0922;;N/A;;;;18.9;18.9;;;;;;;;;;;;;;;;;;;;;;;;;;5;
91;Paper ;2;Copy paper;Copy paper;copy sheet papers, UCFS ;0.83;0.1067;1.4;N/A;;;;21.86;21.86;;;;;;;;;;;;;;;;;;;;;;;;;;5;
92;Paper ;2;Copy paper;Copy paper;copy sheet papers, Offset, uncoated ;0.839;0.0858;1.15;N/A;;;;26.61;26.61;;;;;;;;;;;;;;;;;;;;;;;;;;5;
93;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.868;0.1018;;N/A;;;;21.43;21.43;;;;;;;;;;;;;;;;;;;;;;;;;;5;
94;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.875;0.1159;;N/A;;;;22.43;22.43;;;;;;;;;;;;;;;;;;;;;;;;;;5;
95;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.885;0.1106;;N/A;;;;20.82;20.82;;;;;;;;;;;;;;;;;;;;;;;;;;5;
96;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.89;0.1157;;N/A;;;;24.86;24.86;;;;;;;;;;;;;;;;;;;;;;;;;;5;
97;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.905;0.1089;;N/A;;;;19.04;19.04;;;;;;;;;;;;;;;;;;;;;;;;;;5;
98;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.923;0.1194;;N/A;;;;22.14;22.14;;;;;;;;;;;;;;;;;;;;;;;;;;5;
99;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.924;0.1154;;N/A;;;;22.25;22.25;;;;;;;;;;;;;;;;;;;;;;;;;;5;
100;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.94;0.1135;;N/A;;;;19.43;19.43;;;;;;;;;;;;;;;;;;;;;;;;;;5;
101;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.94;0.1163;;N/A;;;;20.8;20.8;;;;;;;;;;;;;;;;;;;;;;;;;;5;
102;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.957;0.1252;;N/A;;;;23.86;23.86;;;;;;;;;;;;;;;;;;;;;;;;;;5;
103;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.973;0.1206;;N/A;;;;19.8;19.8;;;;;;;;;;;;;;;;;;;;;;;;;;5;
104;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.973;0.1321;;N/A;;;;28.78;28.78;;;;;;;;;;;;;;;;;;;;;;;;;;5;
105;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.976;0.1131;;N/A;;;;18.27;18.27;;;;;;;;;;;;;;;;;;;;;;;;;;5;
106;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.981;0.1335;;N/A;;;;28.28;28.28;;;;;;;;;;;;;;;;;;;;;;;;;;5;
107;Paper ;2;Copy paper;Copy paper;copy sheet papers;1.082;0.1412;;N/A;;;;20.4;20.4;;;;;;;;;;;;;;;;;;;;;;;;;;5;
108;Paper ;2;Copy paper;Copy paper;copy sheet papers;1.087;0.1488;;N/A;;;;21.79;21.79;;;;;;;;;;;;;;;;;;;;;;;;;;5;
109;Paper ;2;Copy paper;Copy paper;copy sheet papers;1.122;0.1544;;N/A;;;;18.91;18.91;;;;;;;;;;;;;;;;;;;;;;;;;;5;
110;Paper ;2;Copy paper;Copy paper;copy sheet papers;1.135;0.1328;;N/A;;;;24.06;24.06;;;;;;;;;;;;;;;;;;;;;;;;;;5;
111;Paper ;2;Copy paper;Copy paper;copy sheet papers;1.169;0.1552;;N/A;;;;16.12;16.12;;;;;;;;;;;;;;;;;;;;;;;;;;5;
