ID;Type;Subtype;Object;abbr.;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;Moisture content %wt;Volatile content %wt;Char content %wt;Ash content %wt;SUM;M_norm;V_norm;C_norm;A_norm;Comments;C %wt;H %wt;N %wt;S %wt;O %wt;Cl %wt;SUM;E_C_norm;E_H_norm;E_N_norm;E_S_norm;E_O_norm;E_Cl_norm;HHV [MJ/kg] DAF;HHV_D [MJ/kg];HHV_eff_norm  [MJ/kg];E_HHV [MJ/kg] DAF;E_HHV_D [MJ/kg];E_HHV_eff_norm  [MJ/kg];Ref
101;Plastic;4;Polyethylene;PE;;;;;w/d basis;0.02;99.85;0;0.15;100.02;0.02;99.83;0;0.14997;dry ash free basis;85.94;13.88;0.12;0.06;0;;100;85.94;13.88;0.12;0.06;0;;;40.983;;41.04456685;40.983;40.9748034;18
102;Plastic;4;Polyethylene;PE;;;;;w/d basis;0.25;;;;;;;;;dry ash free basis;85.62;13.86;0.51;0;0;0;99.99;85.62856286;13.86138614;0.510051005;0;0;0;;44.263;;;44.263;;18
103;Plastic;4;Polyethylene;PE;;;;;w/d basis;0.02;99.85;0;0.15;100.02;0.02;99.83;0;0.14997;dry ash free basis;85.45;14.32;0.16;0.07;0;0;100;85.45;14.32;0.16;0.07;0;0;;46.318;;46.38758137;46.318;46.3087364;18
104;Plastic;4;Polyethylene;PE;;;;;w/d basis;0.39;99.7;0;0.3;100.39;0.39;99.31;0;0.29883;dry ash free basis;84.97;14.3;0.7;0.02;0;0;99.99;84.97849785;14.30143014;0.700070007;0.020002;0;0;;46.479;;46.61885657;46.479;46.2977319;18
105;Plastic;4;Polyethylene;PE;;;;;w/d basis;0.2;98.7;0.1;1.2;100.2;0.2;98.50;0.0998;1.1976;dry ash free basis;85.2;14.2;0.1;0.1;0;;99.6;85.54216867;14.25702811;0.100401606;0.100401606;0;;;43.552;;44.08097166;43.552;43.464896;18
106;Plastic;4;Polyethylene;PE;;;;;w/d basis;0.28;98.58;0;1.42;100.28;0.28;98.30;0;1.416024;dry ash free basis;85.15;14.36;0.07;0.19;0.22;0;99.99;85.15851585;14.36143614;0.070007001;0.190019002;0.220022002;0;;47.285;;47.96611889;47.285;47.152602;18
107;Plastic;4;Polyethylene;PE;;;;;w/d basis;0.57;97.41;0;2.59;100.57;0.57;96.85;0;2.575237;;;;;;;;0;;;;;;;;;;;;;18
108;Plastic;4;Polyethylene;PE;;;;;w/d basis;0.09;98.96;0.48;0.56;100.09;0.09;98.87;0.479568;0.559496;dry ash free basis;85.34;14.57;0;0;0.09;;100;85.34;14.57;0;0;0.09;;;;;;;;18
109;Plastic;4;Polyethylene;PE;;;;;;;;;;;;;;;dry ash free basis;85.59;14.41;0;0;0;;100;85.59;14.41;0;0;0;;;;;;;;18
110;Plastic;4;Polyethylene;PE;;;;;;;;;;;;;;;dry ash free basis;86.54;13.61;0;0;0;0;100.15;86.41038442;13.58961558;0;0;0;0;;;;;;;18
111;Plastic;4;Polyethylene;PE;;;;;;;;;;;;;;;dry ash free basis;85.96;14.04;0;0;0;0;100;85.96;14.04;0;0;0;0;;;;;;;18
112;Plastic;4;Polyethylene;PE;;;;;;;;;;;;;;;dry ash free basis;86.1;13;0;0;0.9;;100;86.1;13;0;0;0.9;;;;;;;;18
113;Plastic;4;Polyethylene;PE;;;;;w/d basis;0.02;99.85;0;0.15;;;;;;dry basis;85.81;13.86;0.12;0.06;0;;99.85;85.93890836;13.88082123;0.12018027;0.060090135;0;;;;;;;;126
114;Plastic;4;Polyethylene;PE;Cp at 20°C;;0.34;2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75
115;Plastic;4;Polyethylene;PE;at 23°C;0.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95
116;Plastic;5;Polyethylene terephthalate;PET;;;;;w/d basis;0.61;86.83;13.17;0;100.61;0.61;86.30;13.09;0.00;dry basis;62.51;4.19;0;0;33.3;0;100;62.51;4.19;0;0;33.3;0;;;;;;;119
117;Plastic;5;Polyethylene terephthalate;PET;;;;;dry basis;0;86.85;13.15;0;100;0;86.85;13.15;0;dry basis;62.5;4.21;0;0;33.29;0;100;62.5;4.21;0;0;33.29;0;;;;;;;94
118;Plastic;5;Polyethylene terephthalate;PET;;;;;dry basis;0.1;88.1;11.8;0;100;0.1;88.1;11.8;0;dry ash free basis;62.1;4.4;0;0;33.5;;100;62.1;4.4;0;0;33.5;;;;46.16;46.20620621;46.20620621;46.16;61
119;Plastic;5;Polyethylene terephthalate;PET;;;;;N/A;0;88.61;11.39;0;100;0;88.61;11.39;0;N/A;64.22;4.65;0.05;0.55;30.53;;100;64.22;4.65;0.05;0.55;30.53;;;;;;;;118
120;Plastic;5;Polyethylene terephthalate;PET;;;;;dry basis;0;94.4;5.6;0;100;0;94.4;5.6;0;dry ash free basis;62.57;4.4;0;0;33.03;;100;62.57;4.4;0;0;33.03;;;;;;;;62
121;Plastic;5;Polyethylene terephthalate;PET;;;;;dry basis;0.535;89.29;10.47;0.01;100.305;0.533373212;89.01849359;10.4381636;0.009969593;;;;;;;;;;;;;;;;;;;;;57
122;Plastic;5;Polyethylene terephthalate;PET;;;;;w/d basis;0.36;89.3;10.6;0.1;100.36;0.36;88.98;10.56;0.10;;;;;;;;;;;;;;;;;42.68;42.87708021;42.83420313;42.68;81
