ID;Type;Subtype;Group;Object;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;Moisture content %wt;Volatile content %wt;Char content %wt;Ash content %wt;SUM;M_norm;V_norm;C_norm;A_norm;;Comments;C %wt;H %wt;N %wt;S %wt;O %wt;Cl %wt;SUM;E_C_norm;E_H_norm;E_N_norm;E_S_norm;E_O_norm;E_Cl_norm;HHV [MJ/kg] DAF;HHV_D [MJ/kg];HHV_eff_norm  [MJ/kg];E_HHV [MJ/kg] DAF;E_HHV_D [MJ/kg];E_HHV_eff_norm  [MJ/kg];Ref A
127;Organic ;3;Wood;Wood chips;;;;;dry basis;;81.5;15.05;3.45;100;0;81.5;15.05;3.45;;dry ash free basis;49.03;5.69;0.22;0.07;44.98;;99.99;49.03490349;5.690569057;0.220022002;0.070007001;44.98449845;;;18.591;;19.25530813;18.591;18.591;31
128;Organic ;3;Wood;Wooden chopsticks;;;;;dry basis;;83.45;14.37;2.18;100;0;83.45;14.37;2.18;;dry ash free basis;48.79;5.16;0.3;0.04;45.7;;99.99;48.79487949;5.160516052;0.300030003;0.040004;45.70457046;;;18.933;;19.35493764;18.933;18.933;31
129;Organic;4;Plant based ;Walnuts shell;English typ;;;2.09;wet basis;3.65;;;1.86;;;;;;;;;;;;;;;;;;;;;;;;;;;2
130;Organic;4;Plant based ;Walnuts shell;;0.692;;;wet basis;8.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56
131;Organic;4;Plant based ;Walnuts kernels;;1.275;;;wet basis;4.38;;;1.74;;;;;;;;;;;;;;;;;;;;;;;;;;;56
132;Organic;4;Plant based ;Ginger;root;1.317;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55
133;Organic;4;Plant based ;Citrus rinds and seeds;;;;;;;;;;;;;;;;dry ash free basis;48;5.7;1.1;0.1;45.1;;100;48;5.7;1.1;0.1;45.1;;4;;;4;;;29
134;Organic;4;Plant based ;Orange peel;;;;;dry basis;0;76.49;20.60;2.91;100;0;76.49;20.60;2.91;;dry ash free basis;48.74;5.92;1.43;0.16;43.00;;99.25;49.10831234;5.964735516;1.440806045;0.161209068;43.32493703;;;;;;;;15
135;Organic;4;Plant based ;Fruit;;;;;as received;76.1;;;;;;;;;;dry basis;38.00;3.70;1.90;0.00;35.60;;79.2;47.97979798;4.671717172;2.398989899;0;44.94949495;;;;;;;;16
136;Organic;4;Plant based ;Artichokes;globe;;;;;;;;1.13;;;;;;;;41.2;6;1.8;0.1;50.9;;100;41.2;6;1.8;0.1;50.9;;;;;;;;52
