ID;Type;Subtype;Group;Object;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;SiO2;CaO;Fe2O3;Al2O3;Na2O;MgO;K2O;P2O5;TiO2;MnO;CuO;ZnO;BaO;SO3;Cl;Cr2O3;ZrO2;PbO;B2O3;SrO;SiO2_norm;CaO_norm;Fe2O3_norm;Al2O3_norm;Na2O_norm;MgO_norm;;Share;REF
72;Inert;2;Ash;Coal Bottom Ash;;;;;;58.7;9.5;6.2;20.1;0.1;1.6;1;1;0;;;;;0.4;;;;;;;0.6102;0.0988;0.0644;0.2089;0.0010;0.0166;;0.975659229;199
73;Inert;2;Ash;Coal Bottom Ash;;2.22;;;;62.32;0.5;3.57;27.21;0.7;0.95;2.58;0;2.15;;;;;0;;;;;;;0.6543;0.0052;0.0375;0.2857;0.0073;0.0100;;0.952690538;199
74;Inert;2;Ash;Coal Bottom Ash;;;;;;45.3;8.7;19.84;18.1;0;0.97;2.48;0.351;3.27;;;;;0.352;;;;;;;0.4876;0.0936;0.2135;0.1948;0.0000;0.0104;;0.935056309;199
75;Inert;2;Ash;Coal Bottom Ash;;1.39;;;;56.44;0.75;8.44;29.24;0.09;0.4;1.24;0;0;;;;;0;;;;;;;0.5919;0.0079;0.0885;0.3066;0.0009;0.0042;;0.987163561;199
76;Inert;2;Ash;Coal Bottom Ash;;2;;;;64.45;3.92;7.77;15.89;0.89;2.45;1.6;0;0;;;;;0;;;;;;;0.6758;0.0411;0.0815;0.1666;0.0093;0.0257;;0.983500052;199
77;Inert;2;Ash;Coal Bottom Ash;;;;;;68.9;1.61;6.5;18.67;0.24;0.53;1.52;0;1.33;;;;;0;;;;;;;0.7144;0.0167;0.0674;0.1936;0.0025;0.0055;;0.971299094;199
78;Inert;2;Ash;Coal Bottom Ash;;2.21;;;;52.1;6.61;11.99;18.34;2.43;4.85;1.57;0;0.87;;;;;0;;;;;;;0.5409;0.0686;0.1245;0.1904;0.0252;0.0504;;0.975293641;199
79;Inert;2;Ash;Coal Bottom Ash;;;;;;47.53;4.17;5.99;20.69;0.33;0.82;0.76;0;0;;;;;1;;;;;;;0.5976;0.0524;0.0753;0.2602;0.0041;0.0103;;0.97834912;199
80;Inert;2;Ash;Coal Bottom Ash;;;;;;57.76;1.58;8.56;21.58;0.14;1.19;1.08;0;0;;;;;0.02;;;;;;;0.6361;0.0174;0.0943;0.2376;0.0015;0.0131;;0.98803177;199
81;Inert;2;Ash;Coal Bottom Ash;;;;;;54.8;4.2;8.49;28.5;0.08;0.35;0.45;0.28;2.71;;;;;0;;;;;;;0.5683;0.0436;0.0881;0.2956;0.0008;0.0036;;0.965551772;199
82;Inert;2;Ash;Coal Bottom Ash;;2.65;;;;52.4;2.4;6.6;27.5;0.36;1.83;3.48;0.12;0.97;;;;;0;;;;;;;0.5753;0.0263;0.0725;0.3019;0.0040;0.0201;;0.952226636;217
83;Inert;2;Ash;Palm Oil Fuel Ash;;2.42;;;;62.6;5.7;8.12;4.65;;3.52;9.05;;;;;;;1.16;;;;;;6.52;0.7400;0.0674;0.0960;0.0550;0.0000;0.0416;;0.892299578;217
84;Inert;2;Ash;Palm Oil Fuel Ash;;;;;;59.17;5.8;6.33;3.73;0.18;4.87;8.25;;;;;;;0.72;;;;;;16.1;0.7389;0.0724;0.0790;0.0466;0.0022;0.0608;;0.899270073;217
